nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Departamento Uruguay,Entre Ríos,"","",100728
Partido de Coronel Dorrego,Buenos Aires,Coronel Dorrego,-,15825
Partido de Lincoln,Buenos Aires,Lincoln,-,41808
Departamento Collón Curá,Neuquén,Piedra del Águila,1 (+1 CF),4532
Departamento Santa María,Catamarca,Santa María,2,22548
Departamento San Justo,Santa Fe,San Justo (Santa Fe),"",40735
Departamento Chamical,La Rioja,Chamical,"",14160
Departamento Ñorquín,Neuquén,El Huecú,4,4692
Departamento Loncopué,Neuquén,Loncopué,1 (+1 CF),6925
Partido de Trenque Lauquen,Buenos Aires,Trenque Lauquen,-,43021
Departamento Bariloche,Río Negro,San Carlos de Bariloche,2 (+2 CF),133500
Departamento Catán Lil,Neuquén,Las Coloradas,1 (+1 CF),2155
Departamento Rosario de la Frontera,Salta,"","",28993
Departamento Zapala,Neuquén,Zapala,2 (+3 CF),36549
Departamento Pilcomayo,Formosa,Clorinda,4 (+ 1 CF + 3 JV),85024
Partido de Benito Juárez,Buenos Aires,Benito Juárez,-,20239
Partido de Coronel Pringles,Buenos Aires,Coronel Pringles,-,22933
Departamento Metán,Salta,"","",40351
Departamento Tercero Arriba,Córdoba,Oliva,17,109554
Departamento San Carlos,Salta,"","",7016
Departamento Ischilín,Córdoba,Deán Funes,9,31312
Departamento Rosario de Lerma,Salta,"","",38702
Departamento Toay,La Pampa,Toay,1,12409
Departamento Federal,Entre Ríos,"","",25863
Departamento Conhelo,La Pampa,Eduardo Castex,5 (+ 1 CF),14077
Departamento General San Martín*,La Rioja,Ulapes,"",4944
Partido de Bolívar,Buenos Aires,Bolívar,-,34190
Departamento Concepción,Corrientes,"","",20845
Departamento General San Martín,Córdoba,Villa María,15,127454
Departamento Lácar,Neuquén,San Martín de los Andes,1,29748
Departamento Paraná,Entre Ríos,"","",339930
Departamento Río Segundo,Córdoba,Villa del Rosario,21,103718
Partido de Tandil,Buenos Aires,Tandil,-,123871
Departamento Rancul,La Pampa,Parera,4 (+ 1 CF),10668
Departamento San Martín,Santa Fe,Sastre y Ortiz,"",63640
Departamento Luján de Cuyo,Mendoza,Luján de Cuyo,14 distritos,124418
Departamento Chilecito,La Rioja,Chilecito,"",49432
Partido de Guaminí,Buenos Aires,Guaminí,-,11826
Departamento Jiménez,Santiago del Estero,-,"",14352
Partido de General La Madrid,Buenos Aires,General La Madrid,-,10783
Partido de Veinticinco de Mayo,Buenos Aires,Veinticinco de Mayo,-,35842
Partido de Necochea,Buenos Aires,Necochea,-,92933
Partido de Lobería,Buenos Aires,Lobería,-,17523
Departamento Aluminé,Neuquén,Aluminé,2,8306
Departamento Paso de los Libres,Corrientes,"","",47782
Departamento Goya,Corrientes,"","",87872
Departamento Calamuchita,Córdoba,San Agustín,23,54730
Departamento Picún Leufú,Neuquén,Picún Leufú,1 (+2 CF),4578
Departamento Pomán,Catamarca,Saujil,3,10776
Departamento Chos Malal,Neuquén,Chos Malal,2 (+2 CF)[11]​,15256
Partido de Pehuajó,Buenos Aires,Pehuajó,-,39776
Departamento Veinticinco de Mayo,San Juan,Santa Rosa,-,17119
Departamento Islas del Ibicuy,Entre Ríos,"","",12077
Departamento Andalgalá,Catamarca,Andalgalá,2,18132
Departamento Coronel Pringles,San Luis,La Toma,"",13082
Departamento Santa Bárbara,Jujuy,Santa Clara,"",17730
Departamento La Poma,Salta,"","",1738
Departamento Matacos,Formosa,Ingeniero Juárez,1,14375
Departamento Ullum,San Juan,Villa Ibáñez,-,4886
Partido de Rauch,Buenos Aires,Rauch,-,15176
Departamento Capayán,Catamarca,Huillapima,2,16085
Partido de Nueve de Julio,Buenos Aires,Nueve de Julio,-,47722
Departamento San Jerónimo,Santa Fe,Coronda,"",80155
Departamento Nogoyá,Entre Ríos,"","",39026
Departamento Los Lagos,Neuquén,Villa La Angostura,2,11998
Partido de Tornquist,Buenos Aires,Tornquist,-,12723
Partido de Tapalqué,Buenos Aires,Tapalqué,-,9178
Partido de Balcarce,Buenos Aires,Balcarce,-,43823
Departamento Huiliches,Neuquén,Junín de los Andes,1,14725
Departamento Garay,Santa Fe,Helvecia,"",20889
Partido de Rivadavia,Buenos Aires,América,-,17143
Partido de Carlos Tejedor,Buenos Aires,Carlos Tejedor,-,11570
Departamento Rawson,Chubut,Rawson,2,131313
Departamento Santa Victoria,Salta,"","",10344
Departamento Avellaneda,Santiago del Estero,-,"",20763
Partido de Adolfo Gonzales Chaves,Buenos Aires,Adolfo Gonzales Chaves,-,12047
Partido de Daireaux,Buenos Aires,Daireaux,-,16889
Departamento Ramón Lista,Formosa,General Mosconi,1 (+ 1 JV),13754
Departamento de Humahuaca,Jujuy,Humahuaca,"",17366
Departamento Federación,Entre Ríos,"","",68736
Departamento Minas,Córdoba,San Carlos Minas,08,4727
Departamento Esquina,Corrientes,"","",30747
Departamento Mayor Luis Jorge Fontana,Chaco,"","",56066
Departamento Aguirre,Santiago del Estero,-,"",7610
Departamento Mitre,Santiago del Estero,-,"",1890
Departamento Burruyacú,Tucumán,Burruyacú,1 (+10 CR)[12]​,36951
Departamento Molinos,Salta,"","",5652
Departamento Banda,Santiago del Estero,-,"",142279
Departamento Atreucó,La Pampa,Macachín,5,10153
Departamento Salavina,Santiago del Estero,-,"",11217
Departamento Guatraché,La Pampa,Guatraché,4 (+ 1 CF),8831
Departamento Iruya,Salta,"","",5987
Departamento Quebrachos,Santiago del Estero,-,"",10568
Partido de Saavedra,Buenos Aires,Pigüé,-,20749
Partido de Pila,Buenos Aires,Pila,-,3640
Departamento San Fernando,Chaco,"","",386391
Departamento Laishí,Formosa,San Francisco de Laishí,4 (+ 2 JV),17063
Partido de Laprida,Buenos Aires,Laprida,-,10210
Departamento Caseros,Santa Fe,Casilda,"",79491
Departamento de Tumbaya,Jujuy,Tumbaya,"",4658
Partido de General Alvear,Buenos Aires,General Alvear,-,11130
Departamento Santa María,Córdoba,Alta Gracia,25,98188
Departamento San Pedro,Misiones,"","",31051
Departamento Rivadavia,Santiago del Estero,-,"",5015
Partido de Las Flores,Buenos Aires,Las Flores,-,23871
Departamento Loreto,Santiago del Estero,-,"",20036
Departamento San Alberto,Córdoba,Villa Cura Brochero,13,37004
Departamento Tunuyán,Mendoza,Tunuyán,12 distritos,49132
Departamento Guaraní,Misiones,"","",67897
Departamento Belgrano,Santiago del Estero,-,"",9243
Departamento Sobremonte,Córdoba,San Francisco del Chañar,04,4591
Departamento General Manuel Belgrano,Misiones,"","",42902
Departamento Concordia,Entre Ríos,"","",170033
Departamento Ledesma,Jujuy,Libertador General San Martín,"",81790
Departamento Constitución,Santa Fe,Villa Constitución,"",85483
Departamento Pocho,Córdoba,Salsacate,07,5380
Departamento Iriondo,Santa Fe,Cañada de Gómez,"",66702
Departamento Totoral,Córdoba,Villa del Totoral,10,18556
Departamento Feliciano,Entre Ríos,"","",15079
Partido de Chascomús,Buenos Aires,Chascomús,-,42277
Partido de Mar Chiquita,Buenos Aires,Coronel Vidal,-,21279
Departamento General Ángel V. Peñaloza*,La Rioja,Tama,-,3073
Departamento La Capital,Santa Fe,Santa Fe (Santa Fe),"",521759
Departamento Pilagás,Formosa,El Espinillo,2 (+ 2 CF + 2 JV),18399
Departamento Libertador General San Martín,San Luis,San Martín,"",4668
Partido de San Cayetano,Buenos Aires,San Cayetano,-,8399
Partido de General Madariaga,Buenos Aires,General Juan Madariaga,-,19747
Departamento de Santa Catalina,Jujuy,Santa Catalina,-,2800
Partido de Pergamino,Buenos Aires,Pergamino,-,104590
Departamento de Yavi,Jujuy,La Quiaca,"",20806
Departamento Cachi,Salta,"","",7315
Departamento Colón,Entre Ríos,"","",62160
Departamento San Miguel,Corrientes,"","",10715
Departamento Trancas,Tucumán,Trancas,1 (+4 CR),17371
Departamento Maipú,Chaco,"","",25262
Departamento Guachipas,Salta,"","",3187
Departamento Sarmiento,San Juan,Media Agua,-,22131
Departamento Diamante,Entre Ríos,"","",46361
Departamento Iguazú,Misiones,"","",82227
Departamento Tafí del Valle,Tucumán,Tafí del Valle,1 (+3 CR),14933
Partido de Saladillo,Buenos Aires,Saladillo,-,32103
Departamento Tala,Entre Ríos,"","",26665
Departamento Chacabuco,San Luis,Concarán,"",20644
Partido de General Lavalle,Buenos Aires,[ General Lavalle,-,3700
Partido de Maipú,Buenos Aires,Maipú,-,10188
Departamento Punilla,Córdoba,Cosquín,26,178401
Departamento Colón,Córdoba,Jesús María,20,225151
Departamento Guasayán,Santiago del Estero,-,"",7602
Departamento General Juan Facundo Quiroga*,La Rioja,Malanzán,"",4108
Departamento 12 de Octubre,Chaco,"","",22225
Departamento Chapaleufú,La Pampa,Intendente Alvear,5 (+ 1 CF),11620
Departamento Bermejo,Chaco,"","",24329
Departamento Quemú Quemú,La Pampa,Quemú Quemú,4 (+ 1 CF),8663
Departamento General Belgrano,La Rioja,Olta,"",7370
Departamento Maracó,La Pampa,General Pico,2 (+ 1 CF),59024
Departamento Catriló,La Pampa,Catriló,3,7293
Departamento Capital,La Pampa,Santa Rosa,2,105312
Partido de General Pinto,Buenos Aires,General Pinto,-,11261
Partido de Carlos Casares,Buenos Aires,Carlos Casares,-,22237
Departamento Tupungato,Mendoza,Tupungato,13 distritos,32865
Departamento Junín,San Luis,Santa Rosa del Conlara,"",28808
Departamento Realicó,La Pampa,Realicó,4 (+ 3 CF),16227
Departamento Ancasti,Catamarca,Ancasti,1,2917
Departamento Belgrano,Santa Fe,Las Rosas (Santa Fe),"",44048
Departamento San Luis del Palmar,Corrientes,"","",17812
Departamento General Güemes,Salta,"","",47226
Departamento 25 de Mayo,Chaco,"","",29315
Departamento Zonda,San Juan,Villa Basilio Nievas,-,4863
Partido de General Guido,Buenos Aires,General Guido,-,2816
Departamento El Alto,Catamarca,El Alto,2,3570
Partido de Bahía Blanca,Buenos Aires,Bahía Blanca,-,301572
Departamento Monte Caseros,Corrientes,"","",35922
Departamento Presidencia de la Plaza,Chaco,"","",12419
Partido de Chacabuco,Buenos Aires,Chacabuco,-,48703
Partido de Junín,Buenos Aires,Junín,-,90305
Departamento Atamisqui,Santiago del Estero,-,"",10923
Departamento San Roque,Corrientes,"","",18223
Partido de Bragado,Buenos Aires,Bragado,-,41336
Departamento Fray Justo Santa María de Oro,Chaco,"","",11799
Departamento La Viña,Salta,"","",7435
Departamento San Pedro,Jujuy,San Pedro de Jujuy,"",75037
Partido de General Viamonte,Buenos Aires,Los Toldos,-,18078
Departamento Rivadavia,Mendoza,Rivadavia,13 distritos,56269
Departamento San Lorenzo,Chaco,"","",14722
Departamento General Ocampo*,La Rioja,Villa Santa Rita de Catuna,"",7145
Departamento Río Hondo,Santiago del Estero,-,"",54867
Departamento Capital,Santiago del Estero,-,"",267125
Partido de Castelli,Buenos Aires,Castelli,-,8205
Departamento San Martín,Santiago del Estero,-,"",9831
Departamento 9 de Julio,Chaco,"","",30153
Partido de Chivilcoy,Buenos Aires,Chivilcoy,-,64185
Partido de Rojas,Buenos Aires,Rojas,-,23432
Departamento Leales,Tucumán,Bella Vista,1 (+12 CR),54949
Departamento Arauco,La Rioja,Aimogasta,"",15418
Departamento Ambato,Catamarca,La Puerta,4,4463
Partido de Dolores,Buenos Aires,Dolores,-,27042
Departamento Eldorado,Misiones,"","",78221
Departamento General Paz,Corrientes,"","",14403
Departamento Trenel,La Pampa,Trenel,3,5426
Departamento General Alvear,Corrientes,"","",8001
Departamento Empedrado,Corrientes,"","",15011
Departamento Doctor Manuel Belgrano,Jujuy,San Salvador de Jujuy (también capital de la provincia),"",265409
Departamento Saladas,Corrientes,"","",22128
Departamento Rosario,Santa Fe,Rosario (Argentina),"",1198528
Partido de Monte,Buenos Aires,Monte,-,21034
Departamento Independencia,Chaco,"","",22479
Partido de General Belgrano,Buenos Aires,General Belgrano,-,17365
Departamento San Lorenzo,Santa Fe,San Lorenzo (Santa Fe),"",159184
Departamento Primero de Mayo,Chaco,"","",10375
Departamento Angaco,San Juan,Villa del Salvador,-,8125
Departamento de Tilcara,Jujuy,Tilcara,"",12359
Partido de Florentino Ameghino,Buenos Aires,Florentino Ameghino,-,8869
Partido de Pellegrini,Buenos Aires,Pellegrini,-,5887
Partido de Magdalena,Buenos Aires,Magdalena,-,19301
Departamento Sauce,Corrientes,"","",9273
Partido de Lobos,Buenos Aires,Lobos,-,36172
Departamento Montecarlo,Misiones,"","",36745
Departamento Capital,Salta,"","",536113
Departamento Sanagasta,La Rioja,Villa Sanagasta,"",2345
Departamento Bella Vista,Corrientes,"","",37212
Departamento Graneros,Tucumán,Graneros,1 (+3 CR),13551
Partido de Hipólito Yrigoyen,Buenos Aires,Henderson,-,9585
Departamento San Javier,Córdoba,Villa Dolores,11,53520
Departamento Sargento Cabral,Chaco,"","",15727
Departamento 25 de Mayo,Misiones,"","",27754
Partido de Navarro,Buenos Aires,Navarro,-,17054
Partido de Salto,Buenos Aires,Salto,-,32653
Departamento Oberá,Misiones,"","",107501
Partido de Punta Indio,Buenos Aires,Verónica,-,9888
Departamento Cainguás,Misiones,"","",53403
Departamento San Ignacio,Misiones,"","",57728
Partido de Leandro N. Alem,Buenos Aires,Vedia,-,16799
Partido de Roque Pérez,Buenos Aires,Roque Pérez,-,12513
Partido de General Alvarado,Buenos Aires,Miramar,-,39594
Departamento Dos de Abril,Chaco,"","",7455
Departamento San Blas de los Sauces*,La Rioja,San Blas,"",3927
Departamento O'Higgins,Chaco,"","",20078
Departamento Cafayate,Salta,"","",14850
Departamento Sarmiento,Santiago del Estero,-,"",4607
Departamento Quitilipi,Chaco,"","",34117
Departamento La Candelaria,Salta,"","",5704
Departamento Libertador General San Martín,Misiones,"","",46561
Partido de General Arenales,Buenos Aires,General Arenales,-,14903
Partido de Baradero,Buenos Aires,Baradero,-,32761
Departamento San Martín,Mendoza,San Martín,15 distritos,118561
Departamento Comandante Fernández,Chaco,"","",97311
Departamento General Donovan,Chaco,"","",13665
Departamento Lavalle,Corrientes,"","",28601
Partido de General Pueyrredón,Buenos Aires,Mar del Plata,-,618989
Departamento Santa Rosa,Catamarca,Bañado de Ovanta,2,12034
Departamento Robles,Santiago del Estero,-,"",44415
Departamento Castro Barros*,La Rioja,Aminga,"",4268
Departamento Chacabuco,Chaco,"","",30564
Partido de Tordillo,Buenos Aires,General Conesa,-,1764
Partido de San Pedro,Buenos Aires,San Pedro,-,59036
Partido de Coronel Rosales,Buenos Aires,Punta Alta,-,62152
Departamento San Salvador,Entre Ríos,"","",17357
Partido de Tres Lomas,Buenos Aires,Tres Lomas,-,8700
Departamento Chicligasta,Tucumán,Concepción,1 (+7 CR),80735
Departamento Simoca,Tucumán,Simoca,1 (+8 CR),30876
Departamento Cruz Alta,Tucumán,Banda del Río Salí,2 (+13 CR),180499
Departamento General Belgrano,Chaco,"","",12090
Departamento Tafí Viejo,Tucumán,Tafí Viejo,2 (+4 CR),121638
