distrito_id,distrito_nombre,seccion_id,seccion_nombre,anio,Cambiemos/Macrismo,Izquierda,Kirchnerismo,Liberalismo,Peronismo Federal/Tercera Via
2,Buenos Aires,8,BALCARCE,2019,0.511149564138562,0.0157693688987561,0.362956675046525,0.0142348754448399,0.076757321492703
2,Buenos Aires,9,BARADERO,2019,0.354174740558929,0.014985144038238,0.551479137062395,0.0127459845842484,0.0500796624036516
2,Buenos Aires,10,ARRECIFES,2019,0.457191016806306,0.01145208467602,0.440781319716425,0.0106092905656636,0.0681175945664568
2,Buenos Aires,11,BERAZATEGUI,2019,0.276935843986485,0.0310604414060185,0.591017762936911,0.0147892750587817,0.0687103594080338
2,Buenos Aires,12,BERISSO,2019,0.319218448690774,0.0299934658230672,0.555771590673658,0.0140086378631648,0.0694694567070936
2,Buenos Aires,13,BOLÍVAR,2019,0.458176809416479,0.0224559646047249,0.436388680190333,0.0102679689456549,0.0680774689039152
2,Buenos Aires,14,BRAGADO,2019,0.447570773421606,0.0138960725492224,0.458570394124341,0.00944795007068722,0.0634805696355298
2,Buenos Aires,15,BRANDSEN,2019,0.413076882318656,0.016690510252742,0.488369628569915,0.0132464367085254,0.0546812907327929
2,Buenos Aires,16,CAMPANA,2019,0.395403700791193,0.0268973375487474,0.48320521256279,0.0129351157901494,0.0609844168766349
2,Buenos Aires,17,CAÑUELAS,2019,0.360390474781837,0.0260908149682,0.532998077207514,0.0122762904895725,0.0570625647093625
2,Buenos Aires,18,CAPITÁN SARMIENTO,2019,0.482062340717506,0.0104881395804744,0.380905704763772,0.00990001960399922,0.103901195843952
2,Buenos Aires,19,CARLOS CASARES,2019,0.503333333333333,0.0188,0.408266666666667,0.0123333333333333,0.0502666666666667
2,Buenos Aires,20,CARLOS TEJEDOR,2019,0.450495670724056,0.0175680762956456,0.472079307315849,0.0096624419626051,0.0422888693688041
2,Buenos Aires,21,CARMEN DE ARECO,2019,0.477510663047693,0.00940286932919736,0.427588212485459,0.00775494377665762,0.0706669251647926
2,Buenos Aires,22,PATAGONES,2019,0.398370456079452,0.0174525118117829,0.477726352328609,0.0137402371998843,0.0531289171728859
2,Buenos Aires,23,CASTELLI,2019,0.454483695652174,0.0120584239130435,0.475203804347826,0.0173233695652174,0.03515625
2,Buenos Aires,24,COLÓN,2019,0.0254382606089866,0.00127773985715951,0.0387192634891038,0.000973912464414737,0.0031131902708642
2,Buenos Aires,25,CORONEL DORREGO,2019,0.520456443083774,0.0138231746915298,0.388626032099453,0.0100194823267465,0.0611373967900547
2,Buenos Aires,26,CORONEL PRINGLES,2019,0.469283826468124,0.0264294462708696,0.417520789015664,0.0119899439180043,0.0545349062076968
2,Buenos Aires,27,CORONEL ROSALES,2019,0.632106399424292,0.0199365654734934,0.244196273887897,0.0201497907726752,0.066179802233535
2,Buenos Aires,28,CORONEL SUÁREZ,2019,0.441342241797619,0.0239259452801314,0.433018551005935,0.0192601993206674,0.0734948303534769
