DEPARTAMENTO,NOMBRE,index
"183 """"IRIONDO""""",GUAMINI,183
"184 """"IRUYA""""",GUARANI,184
"185 """"ISCHILIN""""",GUASAYAN,185
"186 """"ISLAS DEL IBICUY""""",GUATRACHE,186
"187 """"ITATI""""",GUAYMALLEN,187
"188 """"ITUZAINGO""""",HIPOLITO YRIGOYEN,188
"189 """"JACHAL""""",HUCAL,189
"190 """"JIMENEZ""""",HUILICHES,190
"191 """"JOSE C PAZ""""",HUMAHUACA,191
"192 """"JUAN FACUNDO QUIROGA""""",HURLINGHAM,192
"193 """"JUAREZ""""",IGLESIA,193
"194 """"JUAREZ CELMAN""""",IGUAZU,194
"195 """"JUNIN""""",INDEPENDENCIA,195
"196 """"LA BANDA""""",IRIONDO,196
"197 """"LA CALDERA""""",IRUYA,197
"198 """"LA CANDELARIA""""",ISCHILIN,198
"199 """"LA CAPITAL""""",ISLAS DEL IBICUY,199
"200 """"LA CAPITAL SECC.""""",ISLAS MALVINAS,200
"201 """"LA COCHA""""",ITATI,201
"202 """"LA COSTA""""",ITUZAINGO,202
"203 """"LA MATANZA""""",J. C. PAZ,203
"204 """"LA PAZ""""",JACHAL,204
"205 """"LA PLATA""""",JIMENEZ,205
"206 """"LA POMA""""",JUAN F. IBARRA,206
"207 """"LA VIÑA""""",JUAN FACUNDO QUIROGA,207
"208 """"LACAR""""",JUAREZ,208
"209 """"LAGO ARGENTINO""""",JUAREZ CELMAN,209
"210 """"LAGO BUENOS AIRES""""",JUNIN,210
"211 """"LAISHI""""",LA CALDERA,211
"212 """"LANGUIÑEO""""",LA CANDELARIA,212
"213 """"LANUS""""",LA CAPITAL,213
"214 """"LAPRIDA""""",LA COCHA,214
"215 """"LAS COLONIAS""""",LA COSTA,215
"216 """"LAS FLORES""""",LA PAZ,216
"217 """"LAS HERAS""""",LA PLATA,217
"218 """"LAVALLE""""",LA POMA,218
"219 """"LEALES""""",LA VIÃ‘A,219
"220 """"LEANDRO N ALEM""""",LACAR,220
"221 """"LEDESMA""""",LAGO ARGENTINO,221
"222 """"LIBERTAD""""",LAGO BUENOS AIRES,222
"223 """"LIBERTADOR GENERAL SAN MARTIN""""",LAISHI,223
"224 """"LIHUEL CALEL""""",LANGUIÃ‘EO,224
"225 """"LIMAY MAHUIDA""""",LANUS,225
"226 """"LINCOLN""""",LAPRIDA,226
"227 """"LOBERIA""""",LAS COLONIAS,227
"228 """"LOBOS""""",LAS FLORES,228
"229 """"LOMAS DE ZAMORA""""",LAS HERAS,229
"230 """"LONCOPUE""""",LAVALLE,230
"231 """"LORETO""""",LEALES,231
"232 """"LOS ANDES""""",LEANDRO N. ALEM,232
"233 """"LOS LAGOS""""",LEDESMA,233
"234 """"LOVENTUE""""",LIB. GRAL. SAN MARTIN,234
"235 """"LUJAN""""",LIBERTAD,235
"236 """"LULES""""",LIBERTADOR GENERAL SAN MARTIN,236
"237 """"MAGALLANES""""",LIHUEL CALEL,237
"238 """"MAGDALENA""""",LIMAY MAHUIDA,238
"239 """"MAIPU""""",LINCOLN,239
"240 """"MALARGUE""""",LOBERIA,240
"241 """"MALVINAS ARGENTINAS""""",LOBOS,241
"242 """"MAR CHIQUITA""""",LOMAS DE ZAMORA,242
"243 """"MARACO""""",LONCOPUE,243
"244 """"MARCOS JUAREZ""""",LORETO,244
"245 """"MARCOS PAZ""""",LOS ANDES,245
"246 """"MARTIRES""""",LOS LAGOS,246
"247 """"MATACOS""""",LOVENTUE,247
"248 """"MATARA""""",LUJAN,248
"249 """"MAYOR J LUIS FONTANA""""",LULES,249
"250 """"MBURUCUYA""""",MAGALLANES,250
"251 """"MERCEDES""""",MAGDALENA,251
"252 """"MERLO""""",MAIPU,252
"253 """"METAN""""",MALARGUE,253
"254 """"MINAS""""",MALVINAS ARGENTINAS,254
"255 """"MITRE""""",MAR CHIQUITA,255
"256 """"MOLINOS""""",MARACO,256
"257 """"MONTE""""",MARCOS JUAREZ,257
"258 """"MONTE CASEROS""""",MARCOS PAZ,258
"259 """"MONTE HERMOSO""""",MARTIRES,259
"260 """"MONTECARLO""""",MATACOS,260
"261 """"MONTEROS""""",MATANZA,261
"262 """"MORENO""""",MAYOR L. J. FONTANA,262
"263 """"MORON""""",MBURUCUYA,263
"264 """"NAVARRO""""",MERCEDES,264
"265 """"NECOCHEA""""",MERLO,265
"266 """"NOGOYA""""",METAN,266
"267 """"NUEVE DE JULIO""""",MINAS,267
"268 """"ÑORQUIN""""",MITRE,268
"269 """"ÑORQUINCO""""",MOLINOS,269
"270 """"O HIGGINS""""",MONTE,270
"271 """"OBERA""""",MONTE CASEROS,271
"272 """"OJO DE AGUA""""",MONTE HERMOSO,272
"273 """"OLAVARRIA""""",MONTECARLO,273
"274 """"ORAN""""",MONTEROS,274
"275 """"PACLIN""""",MORENO,275
"276 """"PALPALA""""",MORON,276
"277 """"PARANA""""",NAVARRO,277
"278 """"PASO DE INDIOS""""",NECOCHEA,278
"279 """"PASO DE LOS LIBRES""""",NOGOYA,279
"280 """"PATAGONES""""",NORQUINCO,280
"281 """"PATIÑO""""",NUEVE DE JULIO,281
"282 """"PEDERNERA""""",O'HIGGINS,282
"283 """"PEHUAJO""""",OBERA,283
"284 """"PEHUENCHES""""",OJO DE AGUA,284
"285 """"PELLEGRINI""""",OLAVARRIA,285
"286 """"PERGAMINO""""",ORAN,286
"287 """"PICHI MAHUIDA""""",PACLIN,287
"288 """"PICUN LEUFU""""",PALPALA,288
"289 """"PICUNCHES""""",PARANA,289
"290 """"PILA""""",PASO DE INDIOS,290
"291 """"PILAGAS""""",PASO DE LOS LIBRES,291
"292 """"PILAR""""",PATAGONES,292
"293 """"PILCANIYEU""""",PATIÃ‘O,293
"294 """"PILCOMAYO""""",PCIA. DE LA PLAZA,294
"295 """"PINAMAR""""",PEDERNERA,295
"296 """"PIRANE""""",PEHUAJO,296
"297 """"POCHO""""",PEHUENCHES,297
"298 """"POCITO""""",PELLEGRINI,298
"299 """"POMAN""""",PERGAMINO,299
"300 """"PRESIDENCIA DE LA PLAZA""""",PICHI MAHUIDA,300
"301 """"PRESIDENTE PERON""""",PICUN LEUFU,301
"302 """"PRESIDENTE ROQUE SAENZ PEÑA""""",PICUNCHES,302
"303 """"PRIMERO DE MAYO""""",PILA,303
"304 """"PRINGLES""""",PILAGAS,304
"305 """"PUAN""""",PILAR,305
"306 """"PUELEN""""",PILCANIYEU,306
"307 """"PUEYRREDON""""",PILCOMAYO,307
"308 """"PUNILLA""""",PINAMAR,308
"309 """"PUNTA INDIO""""",PIRANE,309
"310 """"QUEBRACHOS""""",POCHO,310
"311 """"QUEMU QUEMU""""",POCITO,311
"312 """"QUILMES""""",POMAN,312
"313 """"QUITILIPI""""",PRESIDENTE PERON,313
"314 """"RAMALLO""""",PRIMERO DE MAYO,314
"315 """"RAMON LISTA""""",PRINGLES,315
"316 """"RANCUL""""",PUAN,316
"317 """"RAUCH""""",PUELEN,317
"318 """"RAWSON""""",PUEYRREDON,318
"319 """"REALICO""""",PUNILLA,319
"320 """"RINCONADA""""",PUNTA INDIO,320
"321 """"RIO CHICO""""",QUEBRACHOS,321
"322 """"RIO CUARTO""""",QUEMU QUEMU,322
"323 """"RIO GRANDE""""",QUILMES,323
"324 """"RIO HONDO""""",QUITILIPI,324
"325 """"RIO PRIMERO""""",RAMALLO,325
"326 """"RIO SECO""""",RAMON LISTA,326
"327 """"RIO SEGUNDO""""",RANCUL,327
"328 """"RIO SENGUER""""",RAUCH,328
"329 """"RIVADAVIA""""",RAWSON,329
"330 """"ROBLES""""",REALICO,330
"331 """"ROJAS""""",RINCONADA,331
"332 """"ROQUE PEREZ""""",RIO CHICO,332
"333 """"ROSARIO""""",RIO CUARTO,333
"334 """"ROSARIO DE LA FRONTERA""""",RIO GRANDE,334
"335 """"ROSARIO DE LERMA""""",RIO HONDO,335
"336 """"ROSARIO SECC.""""",RIO PRIMERO,336
"337 """"ROSARIO VERA PEÑALOZA""""",RIO SECO,337
"338 """"SAAVEDRA""""",RIO SEGUNDO,338
"339 """"SALADAS""""",RIO SENGUER,339
"340 """"SALADILLO""""",RIVADAVIA,340
"341 """"SALAVINA""""",ROBLES,341
"342 """"SALLIQUELO""""",ROJAS,342
"343 """"SALTO""""",ROQUE PEREZ,343
"344 """"SAMIENTO""""",ROQUE SAENZ PEÃ‘A,344
"345 """"SAN ALBERTO""""",ROSARIO,345
"346 """"SAN ANDRES DE GILES""""",ROSARIO DE LA FRONTERA,346
"347 """"SAN ANTONIO""""",ROSARIO DE LERMA,347
"348 """"SAN ANTONIO DE ARECO""""",ROSARIO VERA PEÃ‘ALOZA,348
"349 """"SAN ANTONIO OESTE""""",SAAVEDRA,349
"350 """"SAN BLAS DE LOS SAUCES""""",SALADAS,350
"351 """"SAN CARLOS""""",SALADILLO,351
"352 """"SAN CAYETANO""""",SALAVINA,352
"353 """"SAN COSME""""",SALLIQUELO,353
"354 """"SAN CRISTOBAL""""",SALTO,354
"355 """"SAN FERNANDO""""",SAN ALBERTO,355
"356 """"SAN IGNACIO""""",SAN ANDRES DE GILES,356
"357 """"SAN ISIDRO""""",SAN ANTONIO,357
"358 """"SAN JAVIER""""",SAN ANTONIO DE ARECO,358
"359 """"SAN JERONIMO""""",SAN ANTONIO OESTE,359
"360 """"SAN JUSTO""""",SAN BLAS DE LOS SAUCES,360
"361 """"SAN LORENZO""""",SAN CARLOS,361
"362 """"SAN LUIS DEL PALMAR""""",SAN CAYETANO,362
"363 """"SAN MARTIN""""",SAN COSME,363
"364 """"SAN MIGUEL""""",SAN CRISTOBAL,364
"365 """"SAN NICOLAS""""",SAN FERNANDO,365
"366 """"SAN PEDRO""""",SAN IGNACIO,366
"367 """"SAN RAFAEL""""",SAN ISIDRO,367
"368 """"SAN ROQUE""""",SAN JAVIER,368
"369 """"SAN SALVADOR""""",SAN JERONIMO,369
"370 """"SAN VICENTE""""",SAN JUSTO,370
"371 """"SANAGASTA""""",SAN LORENZO,371
"372 """"SANTA BARBARA""""",SAN LUIS DEL PALMAR,372
"373 """"SANTA CATALINA""""",SAN MARTIN,373
"374 """"SANTA LUCIA""""",SAN MIGUEL,374
"375 """"SANTA MARIA""""",SAN NICOLAS,375
"376 """"SANTA ROSA""""",SAN PEDRO,376
"377 """"SANTA VICTORIA""""",SAN RAFAEL,377
"378 """"SANTO TOME""""",SAN ROQUE,378
"379 """"SARGENTO CABRAL""""",SAN SALVADOR,379
"380 """"SARMIENTO""""",SAN VICENTE,380
"381 """"SAUCE""""",SANAGASTA,381
"382 """"SILIPICA""""",SANTA BARBARA,382
"383 """"SIMOCA""""",SANTA CATALINA,383
"384 """"SOBREMONTE""""",SANTA LUCIA,384
"385 """"SUIPACHA""""",SANTA MARIA,385
"386 """"SUSQUES""""",SANTA ROSA,386
"387 """"TABOADA""""",SANTA VICTORIA,387
"388 """"TAFI DEL VALLE""""",SANTO TOME,388
"389 """"TAFI VIEJO""""",SARGENTO CABRAL,389
"390 """"TALA""""",SARMIENTO,390
"391 """"TANDIL""""",SAUCE,391
"392 """"TAPALQUE""""",SILIPICA,392
"393 """"TAPENAGA""""",SIMOCA,393
"394 """"TEHUELCHES""""",SOBREMONTE,394
"395 """"TELSEN""""",SUIPACHA,395
"396 """"TERCERO ARRIBA""""",SUSQUES,396
"397 """"TIGRE""""",TABOADA,397
"398 """"TILCARA""""",TAFI DEL VALLE,398
"399 """"TINOGASTA""""",TAFI VIEJO,399
"400 """"TOAY""""",TALA,400
"401 """"TORDILLO""""",TANDIL,401
"402 """"TORNQUIST""""",TAPALQUE,402
"403 """"TOTORAL""""",TAPENAGA,403
"404 """"TRANCAS""""",TEHUELCHES,404
"405 """"TRENEL""""",TELSEN,405
"406 """"TRENQUE LAUQUEN""""",TERCERO ARRIBA,406
"407 """"TRES ARROYOS""""",TIGRE,407
"408 """"TRES DE FEBRERO""""",TILCARA,408
"409 """"TRES LOMAS""""",TINOGASTA,409
"410 """"TULUMBA""""",TOAY,410
"411 """"TUMBAYA""""",TORDILLO,411
"412 """"TUNUYAN""""",TORNQUIST,412
"413 """"TUPUNGATO""""",TOTORAL,413
"414 """"ULLUM""""",TRANCAS,414
"415 """"UNION""""",TRENEL,415
"416 """"URUGUAY""""",TRENQUE LAUQUEN,416
"417 """"USHUAIA""""",TRES ARROYOS,417
"418 """"UTRACAN""""",TRES DE FEBRERO,418
"419 """"VALCHETA""""",TRES LOMAS,419
"420 """"VALLE FERTIL""""",TULUMBA,420
"421 """"VALLE GRANDE""""",TUMBAYA,421
"422 """"VALLE VIEJO""""",TUNUYAN,422
"423 """"VEINTICINCO DE MAYO""""",TUPUNGATO,423
"424 """"VERA""""",ULLUM,424
"425 """"VICENTE LOPEZ""""",UNION,425
"426 """"VICTORIA""""",URUGUAY,426
"427 """"VILLA GESELL""""",USHUAIA,427
"428 """"VILLAGUAY""""",UTRACAN,428
"429 """"VILLARINO""""",VALCHETA,429
"430 """"VINCHINA""""",VALLE FERTIL,430
"431 """"YAVI""""",VALLE GRANDE,431
"432 """"YERBA BUENA""""",VALLE VIEJO,432
"433 """"ZAPALA""""",VEINTICINCO DE MAYO,433
"434 """"ZARATE""""",VERA,434
"435 """"ZONDA""""",VICENTE LOPEZ,435
"",VICTORIA,
"",VILLA GESELL,
"",VILLAGUAY,
"",VILLARINO,
"",VINCHINA,
"",YAVI,
"",YERBA BUENA,
"",ZAPALA,
"",ZARATE,
"",ZONDA,
